2026-01-02 18:24:26,419 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,427 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,429 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,429 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,438 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,441 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,442 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,452 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,455 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,456 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,464 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,466 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,467 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,475 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,477 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,478 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,485 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,487 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,487 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
2026-01-02 18:24:26,496 | INFO | CALENDAR | Usuario: debug | Accion: stays_loaded | Detalle: count=2 from=2026-01-02 to=2026-02-01 include_history=False
2026-01-02 18:24:26,498 | INFO | CALENDAR | Usuario: debug | Accion: reservations_loaded | Detalle: count=0 from=2026-01-02 to=2026-02-01
2026-01-02 18:24:26,498 | INFO | CALENDAR | Usuario: usuario | Accion: Ver calendario | Detalle: from=2026-01-02 to=2026-02-01 blocks=1 history=False cancelled=False no_show=False
